# 9-point isotropic stencil, Laplace equation on unit square
# BC: u = 4*x*(1-x) on top edge (y=1); u = 0 elsewhere
# Columns: x   y   u_numerical   u_exact
#
   1.428571E-01   5.238095E-01   9.718644E-02   9.718671E-02
   1.904762E-01   5.238095E-01   1.260501E-01   1.260504E-01
   2.380952E-01   5.238095E-01   1.520240E-01   1.520244E-01
   2.857143E-01   5.238095E-01   1.745444E-01   1.745448E-01
   3.333333E-01   5.238095E-01   1.931353E-01   1.931357E-01
   3.809524E-01   5.238095E-01   2.074139E-01   2.074143E-01
   4.285714E-01   5.238095E-01   2.170926E-01   2.170930E-01
   4.761905E-01   5.238095E-01   2.219798E-01   2.219802E-01
   5.238095E-01   5.238095E-01   2.219798E-01   2.219802E-01
   5.714286E-01   5.238095E-01   2.170926E-01   2.170930E-01
   6.190476E-01   5.238095E-01   2.074139E-01   2.074143E-01
   6.666667E-01   5.238095E-01   1.931353E-01   1.931357E-01
   7.142857E-01   5.238095E-01   1.745444E-01   1.745448E-01
   7.619048E-01   5.238095E-01   1.520240E-01   1.520244E-01
   8.095238E-01   5.238095E-01   1.260501E-01   1.260504E-01
   8.571429E-01   5.238095E-01   9.718644E-02   9.718671E-02
   9.047619E-01   5.238095E-01   6.607637E-02   6.607657E-02
   9.523810E-01   5.238095E-01   3.342878E-02   3.342889E-02
   1.000000E+00   5.238095E-01   0.000000E+00   2.747270E-17

   0.000000E+00   5.714286E-01   0.000000E+00   0.000000E+00
   4.761905E-02   5.714286E-01   3.928761E-02   3.928775E-02
   9.523810E-02   5.714286E-01   7.764265E-02   7.764291E-02
   1.428571E-01   5.714286E-01   1.141656E-01   1.141659E-01
   1.904762E-01   5.714286E-01   1.480190E-01   1.480194E-01
   2.380952E-01   5.714286E-01   1.784501E-01   1.784506E-01
   2.857143E-01   5.714286E-01   2.048055E-01   2.048059E-01
   3.333333E-01   5.714286E-01   2.265394E-01   2.265399E-01
   3.809524E-01   5.714286E-01   2.432170E-01   2.432174E-01
   4.285714E-01   5.714286E-01   2.545141E-01   2.545145E-01
   4.761905E-01   5.714286E-01   2.602160E-01   2.602165E-01
   5.238095E-01   5.714286E-01   2.602160E-01   2.602165E-01
   5.714286E-01   5.714286E-01   2.545141E-01   2.545145E-01
   6.190476E-01   5.714286E-01   2.432170E-01   2.432174E-01
